bert_base_0,bert_base_1,bert_base_2,bert_wwm_0,bert_wwm_1,bert_wwm_2,bert_wwm_ext_0,bert_wwm_ext_1,bert_wwm_ext_2,ERNIE_base_0,ERNIE_base_1,ERNIE_base_2,xlnet_mid_0,xlnet_mid_1,xlnet_mid_2,roberta_large_0,roberta_large_1,roberta_large_2,roberta_wwm_large_ext_0,roberta_wwm_large_ext_1,roberta_wwm_large_ext_2
0.0023331353,0.13585511,0.8618117000000001,0.005488505,0.5536850999999999,0.4408264,0.0053541376,0.58905977,0.40558615,0.012775941,0.5153217000000001,0.47190243,0.001348486,0.1522895,0.8463620000000001,0.0018289106,0.07319756599999999,0.92497355,0.007771506,0.36255205,0.6296764
0.0009510418,0.99804735,0.0010015729,0.0036206564,0.9922975,0.0040819184000000005,0.003896923,0.9936835999999999,0.0024195088,0.030918175,0.93720037,0.03188145,0.0034357584000000003,0.98946595,0.007098271,0.0035595265,0.9925931999999998,0.0038471913,0.006225548000000001,0.9693318999999999,0.024442572000000003
0.1516168,0.847291,0.0010922173,0.20399639,0.79265255,0.0033510822999999997,0.06730932,0.9311944,0.0014962801,0.2086158,0.78619105,0.005193115,0.28837246,0.7088996999999999,0.0027278475,0.21690701,0.7806314999999999,0.0024614942000000003,0.11892145,0.8760943000000001,0.0049842424
0.0032145173999999998,0.16730018,0.82948536,0.0064528873,0.7041713000000001,0.28937584,0.0028608062,0.08507101,0.9120681,0.021612218,0.34372747,0.6346603,0.0016601232,0.262461,0.73587894,0.0013889479999999999,0.1442076,0.85440344,0.005451839399999999,0.5164537,0.47809455
0.0026865727,0.0023295373999999997,0.9949839,0.0031520103000000003,0.021673268,0.9751747,0.0019806763,0.007403191999999999,0.9906159999999999,0.032714568,0.03788569,0.9293998,0.022971991,0.07852884,0.89849925,0.0037055653999999998,0.040312454,0.95598197,0.004511159,0.04314947,0.95233935
0.0014930903,0.99553216,0.0029747328,0.0063021528,0.93855524,0.05514254,0.006347801,0.9800873,0.013564949,0.02508279,0.8828739999999999,0.09204321,0.00986453,0.9608167999999999,0.029318636000000002,0.0038138679999999998,0.986115,0.010071114,0.012862535,0.84675366,0.14038378
0.0036952865999999997,0.99476695,0.0015378147,0.011519325,0.9827664,0.0057142469999999996,0.0066955719999999995,0.98958486,0.0037195953,0.015812041000000002,0.96963364,0.014554369,0.0015271953,0.99599946,0.0024734018,0.013408735,0.97521937,0.011371893000000001,0.015508255,0.9624369,0.022054762000000002
0.0016777443,0.005902816,0.9924194,0.005222103,0.028116312,0.9666616,0.0015998836999999999,0.016265085,0.98213506,0.13609545,0.19817695,0.66572756,0.0023675908,0.020814752,0.9768176,0.0005304332,0.0056387424,0.9938308000000001,0.0064261775,0.05345252,0.94012135
0.0044594444,0.010567528999999999,0.9849730999999999,0.0024799576000000003,0.021423587999999997,0.97609645,0.0014579751999999999,0.008169633,0.9903724,0.02215482,0.03368715,0.9441579999999999,0.0103926165,0.13894093,0.85066646,0.0010535456,0.061154034,0.9377924999999999,0.010874673999999999,0.10484685,0.8842785
0.0011870125999999999,0.031046666,0.9677663000000001,0.008034524,0.14324105,0.8487245000000001,0.0016626847,0.016649426999999998,0.98168784,0.04218895,0.047107004,0.9107040999999999,0.008278114,0.027026549,0.9646954,0.0012017956,0.023719902999999997,0.9750783000000002,0.005944669200000001,0.0399614,0.9540939
